"simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
421,3.89535643676993,1.37684057957462,3.43641764728535,2.17536631370219,3.58074859014952,1.9306380562613,3.80589198049377,1.80589198049377
422,4.36719810241848,1.69989793805066,3.76072496588169,2.50282653358235,3.92528870997717,2.27517817608895,4.13177574973202,2.13177574973202
423,4.52481500286893,1.83758956098146,4.06063461180462,2.47136007349121,4.06391620723234,2.41380567334413,4.26599734264792,2.26599734264792
424,4.19781375974464,1.84660102996649,3.44123260747221,2.56189887023854,3.82063907401549,2.17052854012727,4.00156573885537,2.00156573885537
425,4.68684002402784,2.00468438047556,4.12690586050884,2.88053732249036,4.29199357613872,2.6418830422505,4.5037215914996,2.5037215914996
426,4.21366958835766,1.55855704471932,3.88923372154644,2.29347984174952,3.85419591017758,2.20408537628936,4.09135678164798,2.09135678164798
427,4.15755473953049,1.65876224755765,3.43066677186716,2.21770619055253,3.67912935163588,2.02901881774766,3.82418648120985,1.82418648120985
428,4.54268499307444,1.92807701663886,4.64627860350718,2.60782895377883,4.28694528243505,2.63683474854683,4.627053778643,2.627053778643
429,3.68134564770647,1.18966761329503,3.20164185721326,1.01677689968282,3.1487634481231,1.49865291423488,3.10920937844804,1.10920937844804
430,3.56534692814251,1.35757350012146,2.91528836825184,1.99838430837552,3.27797779362408,1.62786725973586,3.45683633831368,1.45683633831368
431,4.55271355274323,1.97121531153318,3.72494020910401,2.84722520538727,4.10724425643609,2.45713372254788,4.28608270724564,2.28608270724564
432,3.76370074529819,1.62131374403512,3.0968712963368,2.2186700528876,3.47651150508784,1.82640097119962,3.6577706746122,1.6577706746122
433,4.42189303153028,2.05602341820084,5.90350508594,2.34261589249614,4.40021642670001,2.75010589281179,5.12306048921807,3.12306048921807
434,3.75670456238365,1.64215619032361,3.36172050863831,2.0257262327621,3.58902819429015,1.93891766040194,3.6937233707002,1.6937233707002
435,4.3881110184768,1.70833095592293,3.60816785257753,2.47680899273656,3.87240003332235,2.22228949943413,4.04248842265704,2.04248842265704
436,4.48536666598266,1.87324810175259,4.62523302544709,2.41217746163593,4.17610930396179,2.52599877007358,4.51870524354151,2.51870524354151
437,4.42424621566984,1.73904289091284,3.6998380072509,2.56815054601828,3.94821351876378,2.29810298487556,4.13399427663459,2.13399427663459
438,3.98112138606936,1.64904106948272,3.26485943452757,2.34621285085159,3.63238639673414,1.98227586284593,3.80553614268958,1.80553614268958
439,4.07995267236726,1.94491192134781,3.42835316015259,2.577075937873,3.82710201620126,2.17699148231304,4.00271454901279,2.00271454901279
440,4.40036830965782,1.72299102254217,3.68798981346675,2.35203886078376,3.86639340819367,2.21628287430545,4.02001433712525,2.02001433712525
441,4.1769961650621,1.78934206874949,3.5303918825364,2.59284071073335,3.89364940152655,2.24353886763834,4.06161629663488,2.06161629663488
442,4.5577083021461,1.86576832833256,3.78508148273119,2.37518916448585,3.95625408679012,2.3061435529019,4.08013532360852,2.08013532360852
443,4.53664347696129,2.0261388481605,3.80213769803058,2.87083868889801,4.16394547593216,2.51383494204395,4.3364881934643,2.3364881934643
444,4.28987007982242,1.73916581044343,3.63423994608299,2.50110348738098,3.87425442510949,2.22414389122127,4.06767171673198,2.06767171673198
445,4.29046473150501,1.61092071275939,3.690669344023,2.06207272418311,3.75761485279698,2.10750431890876,3.87637103410306,1.87637103410306
446,3.53231209036517,1.06027996808978,2.83570109823977,1.71158167748106,3.11985462987194,1.46974409598372,3.27364138786041,1.27364138786041
447,3.9044614618654,1.22702416599609,3.27566486146666,1.96088723389381,3.44160120538309,1.79149067149487,3.61827604768023,1.61827604768023
448,3.46463347370835,1.23210974855485,3.86684145366528,-1.36404216511835,2.99902569363854,1.34891515975032,2.25139964427346,0.251399644273464
449,4.5896458578792,2.063490011208,3.84862843678268,2.93914748737031,4.2191933351513,2.56908280126308,4.3938879620765,2.3938879620765
450,3.55872045676267,1.38536207810839,3.13485153903716,1.77149527591402,3.3518679010808,1.70175736719258,3.45317340747559,1.45317340747559
451,3.73018682172808,1.37037853941067,3.1571827689274,1.36210730783841,3.23325888892486,1.58314835503665,3.25964503838291,1.25964503838291
452,3.81038203602389,1.43656615501435,3.17086506627208,2.2191388028885,3.52819484495349,1.87808431106528,3.69500193458029,1.69500193458029
453,4.17868956407998,1.49565677922743,3.82967850535778,2.00535709628866,3.69587669157749,2.04576615768928,3.91751780082322,1.91751780082322
454,3.81261944743831,1.4775517727615,3.20191735693555,2.148764329094,3.51856282147449,1.86845228758628,3.67534084301477,1.67534084301477
455,4.38216929077203,1.73793740200454,3.55027586855692,2.53265702570803,3.87180864573225,2.22169811184404,4.04146644713248,2.04146644713248
456,4.05969903319392,1.74078521936933,3.24000149787738,2.35066724597864,3.61207340468908,1.96196287080086,3.79533437192801,1.79533437192801
457,4.37966473704455,1.70449602720167,3.59091255023775,2.41959567182293,3.83869516896241,2.1885846350742,4.00525411103034,2.00525411103034
458,4.04511054645473,1.45974335439996,3.26996302496971,2.37029025068965,3.63286263658672,1.9827521026985,3.82012663782968,1.82012663782968
459,4.46850117758947,1.77691344797711,4.0754015949036,2.54302522770085,4.06324326614973,2.41313273226151,4.30921341130223,2.30921341130223
460,4.5120473688324,1.89146265620544,3.67263358814135,2.73546380923041,4.02783497922912,2.37772444534091,4.20404869868588,2.20404869868588
461,4.30920322368935,2.05087453748156,3.66205863313383,2.82793955911974,4.07655008211323,2.42643954822502,4.24499909612678,2.24499909612678
462,4.24750822923949,1.6032604267381,3.80725390357237,1.95889798581035,3.69424683256884,2.04413629868062,3.88307594469136,1.88307594469136
