"","simul_idx","up_dw","low_dw","t_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","t_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","t_dw_x1_to_xn_tails","up_t_test","low_t_test","t_t_test"
"13",13,0.739673263341445,0.368525946354954,0.322746515274048,0.739623440837502,0.368548164904265,0.174224376678467,0.836712597570926,0.368548164904265,0.174224376678467,0.678147176658915,0.441192101039213,0.000170469284057617
"14",14,0.721889399488038,0.349647048381476,0.379969835281372,0.721835769504487,0.349666544163449,0.175178050994873,0.818920875415241,0.349666544163449,0.175178050994873,0.658293136327571,0.420674119503722,0.000169754028320312
"15",15,0.61233688078273,0.243153040491606,0.339708566665649,0.612284440966071,0.243194090101431,0.168365001678467,0.709401613786583,0.243194090101431,0.168365001678467,0.53805486438657,0.30270122707282,0.000168085098266602
"16",16,0.722301222695739,0.349903978144485,0.333677768707275,0.722270867786739,0.34992562265965,0.164026975631714,0.819359170495474,0.34992562265965,0.164026975631714,0.658767340152325,0.420955829729286,0.000161647796630859
"17",17,0.668494682658823,0.29546881076821,0.300423860549927,0.668493313379948,0.295496095324435,0.162914037704468,0.765590007112724,0.295496095324435,0.162914037704468,0.599163181479645,0.36101023158065,0.000180244445800781
"18",18,0.668536897633222,0.295432005683642,0.349250793457031,0.668513193138801,0.295452869683017,0.210505485534668,0.765600334627841,0.295452869683017,0.210505485534668,0.59922556273155,0.36096367736928,0.000174283981323242
"19",19,0.686648993756041,0.313344202666419,0.248427867889404,0.686620971830452,0.313366346191169,0.162550687789917,0.783710016945383,0.313366346191169,0.162550687789917,0.619185070760785,0.380809263636128,0.000167608261108398
"20",20,0.553564169090137,0.192891944077738,0.287698984146118,0.553553380379977,0.192915074667912,0.159828424453735,0.65064389401076,0.192915074667912,0.159828424453735,0.475182583943414,0.246155522442753,0.000186681747436523
"21",21,0.6503705860773,0.277989663579689,0.359647274017334,0.650351483537141,0.278009131599752,0.175814151763916,0.747436548144851,0.278009131599752,0.175814151763916,0.579346313104549,0.341562425735836,0.000170469284057617
"22",22,0.773838243976432,0.406879854059924,0.249179363250732,0.773798906435424,0.406912377752446,0.168722629547119,0.870903394742417,0.406912377752446,0.168722629547119,0.716324267500886,0.482634065203129,0.000172138214111328
"23",23,0.593072644181036,0.226144312895844,0.241324424743652,0.593050454787023,0.226159911544508,0.168530464172363,0.690129762701106,0.226159911544508,0.168530464172363,0.517294353443471,0.283672475551205,0.000184297561645508
"24",24,0.650195278299723,0.277820412155745,0.243103742599487,0.650149248763613,0.277842754067313,0.159356594085693,0.747238589030395,0.277842754067313,0.159356594085693,0.579198026827984,0.341330385288189,0.000190019607543945
"25",25,0.612401051446244,0.243017064845071,0.242859601974487,0.612369774661049,0.243042370902236,0.157980680465698,0.709463524863273,0.243042370902236,0.157980680465698,0.538097324192598,0.30258418499967,0.000182628631591797
"26",26,0.739828591434337,0.368696361562832,0.246599435806274,0.739810222340944,0.368718688567398,0.178329706192017,0.836899540429694,0.368718688567398,0.178329706192017,0.67830396802561,0.441402145662883,0.000182628631591797
"27",27,0.686843102381043,0.313503115454025,0.273747682571411,0.686806893501831,0.31354650871295,0.170488357543945,0.783927553108297,0.31354650871295,0.170488357543945,0.619491737636216,0.380899084943223,0.00018620491027832
"28",28,0.757225233068511,0.387905164990125,0.249955177307129,0.757212195975118,0.387935152315911,0.162732362747192,0.854312910778686,0.387935152315911,0.162732362747192,0.697760864976031,0.462174187230569,0.000179767608642578
"29",29,0.553168590868912,0.192556069549092,0.260658264160156,0.553157073536537,0.19256978166712,0.217251777648926,0.650233574746953,0.19256978166712,0.217251777648926,0.474753122880114,0.245782449941008,0.000168085098266602
"30",30,0.739898175804893,0.368812616282008,0.248752593994141,0.739866182029269,0.368833714935498,0.156734943389893,0.836953672627172,0.368833714935498,0.156734943389893,0.678366611237469,0.441543690100011,0.000163078308105469
