"","simul_idx","up_dw","low_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","up_t_test","low_t_test","up_anderson","low_anderson","up_cheby","low_cheby","up_emp_bern","low_emp_bern","up_hoeffding","low_hoeffding","up_PI_emp_bern","low_PI_emp_bern","up_PI_hedged","low_PI_hedged"
"28",28,0.756188236059903,0.389141446308798,0.756175300270481,0.389171200619822,0.85252157969027,0.389171200619822,0.697760864976031,0.462174187230569,0.752876873712335,0.386981267111173,0.829643789506109,0.136968753999392,0.946467051868557,0.213468000338044,0.753049364363529,0.406885687843072,0.791477352348462,0.356993299874433,0.73,0.41
"29",29,0.551887606940074,0.193482178708164,0.551876179102457,0.19349578427698,0.648198389636897,0.19349578427698,0.474753122880114,0.245782449941008,0.533259498474993,0.167422693246534,0.685761581528097,-0.0853152708438291,0.721407972238552,-0.000872399417430447,0.533349624670789,0.187185948150332,0.577894480546249,0.155297952658244,0.53,0.21
"30",30,0.738829071155093,0.370030310713926,0.738797325985232,0.370051245421562,0.835130460231234,0.370051245421562,0.678366611237469,0.441543690100011,0.732874544181376,0.367002771681149,0.817511163220988,0.115747421226912,0.927456103847794,0.192454197489686,0.733036988928968,0.386873312408511,0.772620619425886,0.336258663980169,0.72,0.39
"31",31,0.572325606884642,0.210456297050889,0.572296466837129,0.210499128599459,0.668662237219565,0.210499128599459,0.496483959838663,0.264912176905532,0.553638615417421,0.187782678556921,0.70005037363279,-0.0655535930126273,0.743945301138567,0.0174508356056272,0.553779906632326,0.207616230111869,0.589833686720646,0.164043803064771,0.56,0.24
"32",32,0.703347141742414,0.332572491940401,0.703306556251542,0.332592104408361,0.799637719766031,0.332592104408361,0.638970362597088,0.400671389657201,0.69277551072096,0.326919685320346,0.792540404837504,0.0738277220410695,0.88851751516281,0.151124237091479,0.692902714387373,0.346739037866916,0.733787972904335,0.29556432944679,0.68,0.36
"33",33,0.648775091734739,0.278839883497826,0.648747673102134,0.278869281070665,0.745093420821659,0.278869281070665,0.57890879013583,0.341288718082452,0.633008129674652,0.267220825506799,0.753908756353358,0.0129225004952107,0.828245444838993,0.0919520633792892,0.63318059236937,0.287016915848913,0.672816343349605,0.238313200669905,0.63,0.3
"34",34,0.685389762972559,0.314300484358882,0.685362543274811,0.314335282616089,0.781716340441853,0.314335282616089,0.619116151370014,0.380544975090117,0.672768025756057,0.30689045660956,0.779799433938595,0.0532515047781811,0.868747702442782,0.130913424017349,0.672912401490294,0.326748724969837,0.723845722366713,0.285591955422411,0.66,0.33
"35",35,0.685294067326562,0.314270922336954,0.685264447783492,0.314291470938799,0.781597003587412,0.314291470938799,0.619003377906041,0.380515593788011,0.67270589580758,0.306859830199968,0.779753784308937,0.0531786921027718,0.86860907266874,0.130909899025311,0.672841324107254,0.326677647586797,0.714045584145898,0.275612131281313,0.67,0.34
"36",36,0.667194533608868,0.296433765815992,0.66714421520229,0.296443733437756,0.763461003560229,0.296443733437756,0.599075636217628,0.360785610028945,0.652890764022309,0.287060974392629,0.766924360228505,0.0329600116436387,0.848620014781956,0.111241231464617,0.653012461383515,0.306848784863058,0.702408113631193,0.26769882458089,0.66,0.33
"37",37,0.703360080392964,0.332501663071185,0.703352818534827,0.332523437705014,0.799687204648433,0.332523437705014,0.638939293944568,0.400638604722067,0.692751957240309,0.326823459937935,0.792520213250514,0.0737947023050143,0.888486978655451,0.151090920011184,0.692870787593546,0.346707111073089,0.742946505266239,0.306096189392489,0.68,0.35
